Report Date,Week Ending Date,Weight Range,National Head Count,National Average Weight,National Weighted Average Price,IA/MN Head Count,IA/MN Average Weight,IA/MN Weighted Average Price,Western Cornbelt Head Count,Western Cornbelt Average Weight,Western Cornbelt Weighted Average Price,Eastern Cornbelt Head Count,Eastern Cornbelt Average Weight,Eastern Cornbelt Weighted Average Price
11/15/2021,11/13/2021,300-399,"6,887",370,66.31,"3,492",370,66.51,"5,085",370,65.45,"1,213",369,69.03
11/15/2021,11/13/2021,400-449,"6,714",425,65.14,"2,624",425,65.87,"4,294",425,64.75,"1,134",426,67.52
11/15/2021,11/13/2021,450-499,"7,884",474,70.44,"2,494",472,69.74,"3,634",473,69.19,"2,032",472,70.25
11/15/2021,11/13/2021,500-549,"6,316",523,71.88,"2,513",523,72.94,"3,202",523,71.98,"2,175",522,72.93
11/15/2021,11/13/2021,550/up,"4,573",586,72.54,"1,210",585,73.59,"1,611",586,73.43,"1,662",582,73.39
11/8/2021,11/6/2021,300-399,"6,676",370,62.69,"3,155",368,64.45,"4,798",369,62.31,962,371,63.3
11/8/2021,11/6/2021,400-449,"6,757",425,61.65,"2,461",425,61.93,"4,151",425,60.55,"1,611",424,64.86
11/8/2021,11/6/2021,450-499,"7,035",475,65.69,"2,254",475,66.2,"3,348",475,64.41,"2,391",474,67.36
11/8/2021,11/6/2021,500-549,"7,924",523,67.98,"2,193",522,68.13,"3,270",523,67.19,"2,409",523,69.22
11/8/2021,11/6/2021,550/up,"4,604",585,68.37,"1,288",584,69.7,"1,982",585,68.76,"1,401",582,69.29
11/1/2021,10/30/2021,300-399,"6,256",370,58.94,"3,078",366,59.57,"4,518",368,58.6,868,367,59.81
11/1/2021,10/30/2021,400-449,"7,140",425,57.3,"2,653",425,56.55,"4,672",425,56.18,"1,235",424,60.3
11/1/2021,10/30/2021,450-499,"7,902",475,62.11,"2,656",475,61.83,"3,816",476,61.1,"2,145",474,63.06
11/1/2021,10/30/2021,500-549,"7,116",523,64.39,"2,068",523,64.65,"3,118",523,63.55,"2,148",524,66.37
11/1/2021,10/30/2021,550/up,"4,755",584,64.64,"1,388",586,65.91,"1,945",587,65.23,"1,306",579,64.91
10/25/2021,10/23/2021,300-399,"7,057",370,56.73,"3,125",368,57.55,"5,197",369,56.04,995,373,58.86
10/25/2021,10/23/2021,400-449,"5,928",426,56.67,"2,588",426,56.49,"4,009",425,55.71,"1,093",425,59.6
10/25/2021,10/23/2021,450-499,"6,675",474,59.65,"2,400",475,60.14,"3,812",475,58.83,"1,869",471,60.65
10/25/2021,10/23/2021,500-549,"8,052",524,62.85,"2,414",522,63.36,"3,558",523,62.35,"2,706",524,63.59
10/25/2021,10/23/2021,550/up,"5,094",584,63.82,"1,412",584,64.28,"2,052",586,63.56,"1,769",576,64.96
10/18/2021,10/16/2021,300-399,"6,016",370,58.41,"2,879",368,58.02,"4,567",369,57.33,752,369,61.84
10/18/2021,10/16/2021,400-449,"6,674",425,58.33,"2,463",424,57.21,"4,193",425,56.33,"1,411",423,63.62
10/18/2021,10/16/2021,450-499,"6,685",474,61.3,"2,359",474,60.8,"3,542",474,59.69,"1,851",470,63.22
10/18/2021,10/16/2021,500-549,"7,425",524,64.89,"2,285",524,64,"3,015",524,63.05,"2,329",525,66.83
10/18/2021,10/16/2021,550/up,"4,148",586,64.62,797,587,65.16,"1,407",585,64.09,"1,337",585,66.3
10/11/2021,10/9/2021,300-399,"5,289",372,60.08,"2,453",370,60.45,"3,800",371,59.76,879,370,61.68
10/11/2021,10/9/2021,400-449,"6,305",426,59.8,"2,631",426,59.12,"4,392",426,58.89,898,423,62.84
10/11/2021,10/9/2021,450-499,"8,053",474,62.67,"2,729",473,61.9,"4,374",473,61.14,"2,394",474,65
10/11/2021,10/9/2021,500-549,"7,989",523,66.47,"2,296",522,65.18,"3,206",522,64.52,"2,518",524,68.73
10/11/2021,10/9/2021,550/up,"4,592",586,66.74,"1,311",587,67.03,"1,993",586,66.35,"1,075",585,68.98
10/4/2021,10/2/2021,300-399,"5,986",371,63.18,"2,418",369,63.02,"4,264",370,62.57,"1,010",366,64.61
10/4/2021,10/2/2021,400-449,"7,537",425,64.08,"2,964",425,63.35,"4,950",425,63.05,"1,305",422,67.33
10/4/2021,10/2/2021,450-499,"8,182",474,67.99,"2,738",474,66.37,"3,842",474,66.42,"3,010",474,69.1
10/4/2021,10/2/2021,500-549,"8,304",523,72.01,"2,616",523,71.17,"3,688",524,70.64,"2,490",523,72.84
10/4/2021,10/2/2021,550/up,"4,636",582,72.13,"1,365",580,71.01,"1,953",582,70.73,"1,298",579,74.09
9/27/2021,9/25/2021,300-399,"4,893",371,68.95,"1,910",369,68.27,"3,338",369,67.78,"1,068",371,73.33
9/27/2021,9/25/2021,400-449,"6,368",426,70.02,"2,389",427,69.86,"4,121",426,69.31,"1,076",426,71.69
9/27/2021,9/25/2021,450-499,"6,650",474,74.3,"2,200",474,74.02,"3,403",473,72.96,"1,925",473,74.98
9/27/2021,9/25/2021,500-549,"7,781",523,77.8,"2,178",523,76.97,"3,269",523,76.07,"2,587",523,79.6
9/27/2021,9/25/2021,550/up,"4,151",583,78.42,"1,308",582,79.13,"1,912",584,78.11,"1,176",577,79.96
9/20/2021,9/18/2021,300-399,"6,118",371,76.48,"2,883",371,77.46,"4,313",371,76.61,903,365,77.5
9/20/2021,9/18/2021,400-449,"5,865",425,77.11,"2,273",424,76.23,"3,782",425,75.97,989,425,78.51
9/20/2021,9/18/2021,450-499,"6,580",474,80.61,"1,741",474,78.8,"2,957",475,78.36,"2,429",473,82.54
